Id, Situacao, qntElementos, Média, espaçoVazio
0,alocado,1,10000000,10000000
1,alocado,1,9956884,9956884
2,alocado,1,9934735,9934735
3,alocado,1,9893569,9893569
4,alocado,1,9839137,9839137
5,alocado,1,9791971,9791971
6,alocado,1,9740026,9740026
7,alocado,1,9686954,9686954
8,alocado,1,9655334,9655334
9,alocado,1,9625204,9625204
10,alocado,1,9580267,9580267
11,alocado,1,9572469,9572469
12,alocado,1,9556739,9556739
13,alocado,1,9524748,9524748
14,alocado,1,9519502,9519502
15,alocado,1,9488424,9488424
16,alocado,1,9468555,9468555
17,alocado,1,9448968,9448968
18,alocado,1,9397173,9397173
19,alocado,1,9377164,9377164
20,alocado,1,9365517,9365517
21,alocado,1,9363361,9363361
22,alocado,1,9351817,9351817
23,alocado,1,9304746,9304746
24,alocado,1,9267337,9267337
25,alocado,1,9230640,9230640
26,alocado,1,9199881,9199881
27,alocado,1,9167418,9167418
28,alocado,1,9115736,9115736
29,alocado,1,9066112,9066112
30,alocado,1,9046833,9046833
31,alocado,1,9031285,9031285
32,alocado,1,9018687,9018687
33,alocado,1,9007851,9007851
34,alocado,1,8969364,8969364
35,alocado,1,8935283,8935283
36,alocado,1,8905126,8905126
37,alocado,1,8896267,8896267
38,alocado,1,8886135,8886135
39,alocado,1,8881746,8881746
40,alocado,1,8846839,8846839
41,alocado,1,8814231,8814231
42,alocado,1,8775793,8775793
43,alocado,1,8769105,8769105
44,alocado,1,8737668,8737668
45,alocado,1,8715328,8715328
46,alocado,1,8685070,8685070
47,alocado,1,8678216,8678216
48,alocado,1,8626301,8626301
49,alocado,1,8604068,8604068
50,alocado,1,8586939,8586939
51,alocado,1,8580863,8580863
52,alocado,1,8549595,8549595
53,alocado,1,8538591,8538591
54,alocado,1,8475857,8475857
55,alocado,1,8436488,8436488
56,alocado,1,8396996,8396996
57,alocado,1,8354082,8354082
58,alocado,1,8305303,8305303
59,alocado,1,8268198,8268198
60,alocado,1,8241840,8241840
61,alocado,1,8197224,8197224
62,alocado,1,8155542,8155542
63,alocado,1,8133280,8133280
64,alocado,1,8095123,8095123
65,alocado,1,8088723,8088723
66,alocado,1,8060770,8060770
67,alocado,1,8040038,8040038
68,alocado,1,8015865,8015865
69,alocado,1,7951621,7951621
70,alocado,1,7898389,7898389
71,alocado,1,7867747,7867747
72,alocado,1,7807499,7807499
73,alocado,1,7780429,7780429
74,alocado,1,7770090,7770090
75,alocado,1,7756070,7756070
76,alocado,1,7736377,7736377
77,alocado,1,7717482,7717482
78,alocado,1,7702054,7702054
79,alocado,1,7651907,7651907
80,alocado,1,7623239,7623239
81,alocado,1,7568464,7568464
82,alocado,1,7560377,7560377
83,alocado,1,7528646,7528646
84,alocado,1,7523486,7523486
85,alocado,1,7493349,7493349
86,alocado,1,7484979,7484979
87,alocado,1,7458975,7458975
88,alocado,1,7454627,7454627
89,alocado,1,7434779,7434779
90,alocado,1,7394162,7394162
91,alocado,1,7353085,7353085
