Id, Situacao, qntElementos, Média, espaçoVazio 
0,alocado,1,10000000,10000000
1,alocado,1,9984174,9984174
2,alocado,1,9946102,9946102
3,alocado,1,9894642,9894642
4,alocado,1,9851106,9851106
5,alocado,1,9829609,9829609
6,alocado,1,9781265,9781265
7,alocado,1,9739236,9739236
8,alocado,1,9691337,9691337
9,alocado,1,9665977,9665977
10,alocado,1,9616367,9616367
11,alocado,1,9614974,9614974
12,alocado,1,9587579,9587579
13,alocado,1,9533626,9533626
14,alocado,1,9523457,9523457
15,alocado,1,9517209,9517209
16,alocado,1,9472215,9472215
17,alocado,1,9464314,9464314
18,alocado,1,9448165,9448165
19,alocado,1,9397359,9397359
20,alocado,1,9369456,9369456
21,alocado,1,9341359,9341359
22,alocado,1,9321895,9321895
23,alocado,1,9318283,9318283
24,alocado,1,9279113,9279113
25,alocado,1,9246406,9246406
26,alocado,1,9233619,9233619
27,alocado,1,9204715,9204715
28,alocado,1,9188254,9188254
29,alocado,1,9179002,9179002
30,alocado,1,9155116,9155116
31,alocado,1,9105482,9105482
32,alocado,1,9088751,9088751
33,alocado,1,9066287,9066287
34,alocado,1,9036769,9036769
35,alocado,1,9031049,9031049
36,alocado,1,9027202,9027202
37,alocado,1,8995322,8995322
38,alocado,1,8969762,8969762
39,alocado,1,8919093,8919093
40,alocado,1,8911120,8911120
41,alocado,1,8876616,8876616
42,alocado,1,8861778,8861778
43,alocado,1,8812866,8812866
44,alocado,1,8784896,8784896
45,alocado,1,8730472,8730472
46,alocado,1,8711881,8711881
47,alocado,1,8660514,8660514
48,alocado,1,8611827,8611827
49,alocado,1,8597138,8597138
50,alocado,1,8567826,8567826
51,alocado,1,8550592,8550592
52,alocado,1,8495226,8495226
53,alocado,1,8447260,8447260
54,alocado,1,8414314,8414314
55,alocado,1,8351509,8351509
56,alocado,1,8304477,8304477
57,alocado,1,8282196,8282196
58,alocado,1,8267774,8267774
59,alocado,1,8217388,8217388
60,alocado,1,8186426,8186426
61,alocado,1,8185257,8185257
62,alocado,1,8143590,8143590
63,alocado,1,8121308,8121308
64,alocado,1,8071230,8071230
65,alocado,1,8048963,8048963
66,alocado,1,8005471,8005471
67,alocado,1,7995644,7995644
68,alocado,1,7992171,7992171
69,alocado,1,7966675,7966675
70,alocado,1,7943059,7943059
71,alocado,1,7900564,7900564
72,alocado,1,7888632,7888632
73,alocado,1,7881640,7881640
74,alocado,1,7852241,7852241
75,alocado,1,7820951,7820951
76,alocado,1,7813233,7813233
77,alocado,1,7757349,7757349
78,alocado,1,7754160,7754160
79,alocado,1,7729139,7729139
80,alocado,1,7669755,7669755
81,alocado,1,7650138,7650138
82,alocado,1,7637617,7637617
83,alocado,1,7613232,7613232
84,alocado,1,7575372,7575372
85,alocado,1,7544581,7544581
86,alocado,1,7520332,7520332
87,alocado,1,7502396,7502396
88,alocado,1,7461027,7461027
89,alocado,1,7429178,7429178
90,alocado,1,7367168,7367168
91,alocado,1,7340080,7340080
92,alocado,1,7285742,7285742
93,alocado,1,7285632,7285632
94,alocado,1,7283998,7283998
95,alocado,1,7275552,7275552
96,alocado,1,7243086,7243086
97,alocado,1,7183236,7183236
98,alocado,1,7178372,7178372
99,alocado,1,7154221,7154221
100,alocado,1,7145277,7145277
101,alocado,1,7096798,7096798
102,alocado,1,7088313,7088313
103,alocado,1,7024866,7024866
104,alocado,1,7004835,7004835
105,alocado,1,6969096,6969096
19,liberado,1,6908617,6908617
106,alocado,2,3468260,6936520
107,alocado,2,3454282,6908564
108,alocado,2,3443938,6887877
109,alocado,2,3437090,6874181
110,alocado,2,3409829,6819658
111,alocado,2,3392699,6785398
112,alocado,2,3366416,6732833
113,alocado,2,3366016,6732033
114,alocado,2,3360549,6721099
115,alocado,2,3359972,6719945
116,alocado,2,3359856,6719712
117,alocado,2,3354471,6708943
118,alocado,2,3334048,6668096
119,alocado,2,3308492,6616985
120,alocado,2,3287896,6575793
121,alocado,2,3285983,6571966
122,alocado,2,3279557,6559114
2,liberado,2,3256725,6513451
123,alocado,3,2188303,6564911
124,alocado,3,2175987,6527961
125,alocado,3,2164935,6494805
126,alocado,3,2152143,6456430
127,alocado,3,2131311,6393934
128,alocado,3,2116801,6350404
129,alocado,3,2109294,6327884
130,alocado,3,2096141,6288423
105,liberado,3,2079515,6238547
131,alocado,4,1574756,6299026
132,alocado,4,1565828,6263312
133,alocado,4,1553457,6213831
134,alocado,4,1549659,6198637
135,alocado,4,1534282,6137128
136,alocado,4,1518203,6072812
137,alocado,4,1517219,6068876
138,alocado,4,1510075,6040303
139,alocado,4,1510032,6040129
140,alocado,4,1504486,6017946
141,alocado,4,1500063,6000252
142,alocado,4,1486052,5944211
143,alocado,4,1474196,5896787
144,alocado,4,1460970,5843881
145,alocado,4,1448867,5795469
146,alocado,4,1445788,5783154
147,alocado,4,1442326,5769306
148,alocado,4,1434340,5737363
64,liberado,4,1421817,5687270
149,alocado,5,1141907,5709537
150,alocado,5,1130020,5650101
151,alocado,5,1126066,5630334
152,alocado,5,1117021,5585109
153,alocado,5,1108600,5543000
80,liberado,5,1102864,5514320
154,alocado,6,922322,5533937
155,alocado,6,917908,5507451
156,alocado,6,911489,5468938
49,liberado,6,910147,5460883
157,alocado,7,784313,5490195
158,alocado,7,784051,5488360
159,alocado,7,779707,5457949
157,liberado,7,774188,5419318
160,alocado,7,774450,5421153
161,alocado,7,773401,5413807
162,alocado,7,768545,5379815
163,alocado,7,762354,5336478
164,alocado,7,761184,5328292
165,alocado,7,759312,5315189
166,alocado,7,756277,5293944
167,alocado,7,753091,5271640
168,alocado,7,746439,5225075
34,liberado,7,745041,5215291
169,alocado,8,652626,5221011
170,alocado,8,650843,5206745
171,alocado,8,646959,5175673
172,alocado,8,644454,5155638
173,alocado,8,641254,5130039
174,alocado,8,634823,5078590
175,alocado,8,631033,5048265
176,alocado,8,625894,5007153
177,alocado,8,623354,4986834
178,alocado,8,620844,4966755
179,alocado,8,617204,4937638
180,alocado,8,611889,4895114
181,alocado,8,610049,4880392
182,alocado,8,607998,4863989
183,alocado,8,604326,4834614
184,alocado,8,598032,4784259
185,alocado,8,590782,4726259
113,liberado,8,587005,4696047
39,liberado,9,522997,4706981
136,liberado,10,471495,4714954
186,alocado,11,428990,4718890
21,liberado,11,425825,4684079
187,alocado,12,391961,4703543
188,alocado,12,388441,4661300
189,alocado,12,384494,4613939
190,alocado,12,384198,4610385
103,liberado,12,380286,4563440
74,liberado,13,352574,4583471
191,alocado,14,329625,4614761
192,alocado,14,327160,4580248
193,alocado,14,324453,4542352
18,liberado,14,322871,4520201
194,alocado,15,304733,4571007
195,alocado,15,300517,4507766
196,alocado,15,299985,4499775
197,alocado,15,296659,4449894
198,alocado,15,296553,4448298
199,alocado,15,292353,4385305
200,alocado,15,289492,4342393
201,alocado,15,288964,4334465
202,alocado,15,287407,4311114
155,liberado,15,285110,4276660
203,alocado,16,269698,4315173
204,alocado,16,266588,4265409
205,alocado,16,266351,4261625
161,liberado,16,265721,4251545
206,alocado,17,252090,4285537
207,alocado,17,248708,4228051
208,alocado,17,247183,4202123
209,alocado,17,244154,4150632
